050_vazov_000|The Adventure of the Snowing Globe by F. Anstey
050_vazov_001|This is a LibriVox recording.
050_vazov_002|All LibriVox recordings are in the public domain.
050_vazov_003|for more information or to volunteer please visit LibriVox.org
050_vazov_004|Before beginning to relate an experience which, I am fully aware, will seem to many so singular as to be almost, if not quite, incredible,
050_vazov_005|It is perhaps as well to state that I am a solicitor of several years' standing, and that I do not regard myself, nor to the best of my knowledge and belief have I ever been regarded, as a person in whom the imaginative faculty is at all unduly prominent.
050_vazov_006|It was in Christmas week of last year.
050_vazov_007|I was walking home from my office in New Square, Lincoln's Inn, as my habit is, except on occasions when the state of the weather renders such an open-air exercise too imprudent.
050_vazov_008|And on my way I went into a toy shop with a view to purchasing some seasonable present for a small goth child of mine.
050_vazov_009|As was only to be expected at that time of year, the shop was crowded with customers and I had to wait until one of the assistants should be at liberty.
050_vazov_010|While waiting, my attention was attracted to a toy on the counter before me.
050_vazov_011|It was a glass globe about the size of a moderately large orange.
050_vazov_012|Inside it was a representation of what appeared to be the facade of a castle.
050_vazov_013|before which stood a figure holding by a thread a small pear-shaped air ball striped red and blue.
050_vazov_014|The globe was full of water containing a white sediment and solution which, when agitated, produced the effect of a miniature snowstorm.
050_vazov_015|I cannot account for such a childish proceeding, except by the circumstance that I had nothing better to occupy me at the moment.
050_vazov_016|but I employed myself in shaking the globe and watching the tiny snowflakes circulating in the fluid.
050_vazov_017|till I became so engrossed as to be altogether oblivious of my surroundings.
050_vazov_018|so that I was not particularly surprised when I found, as I presently did, that the flakes were falling and melting on my coat sleeve.
050_vazov_019|Before me was a heavy gateway belonging to a grim, castellated edifice.
050_vazov_020|which I thought at first must be Holloway Jail, though how I could have wandered so far out of my way was more than I could understand.
050_vazov_021|But on looking round I saw no signs of any suburban residences.
050_vazov_022|and recognize that I had somehow strayed into a locality with which I was totally unacquainted.
050_vazov_023|but which was evidently considerably beyond the metropolitan radius.
050_vazov_024|It seemed to me that my best plan would be to knock at the gate and ask the lodgekeeper where I was on my way to the nearest railway station.
050_vazov_025|But before I could carry out my intention, a wicket in one of the gates was cautiously opened by a person of ancient and venerable appearance.
050_vazov_026|She did not look like an ordinary porter.
050_vazov_027|but was in a peculiar livery which I took to be a seneschal's.
050_vazov_028|Not that I have ever seen a Seneschal, but that was my impression of him.
050_vazov_029|Whoever he was, he appeared distinctly pleased to see me.
050_vazov_030|"You are right welcome, Pesa,"" he said in a high-cracked voice."
050_vazov_031|Well knew I that my hapless lady would not lack a protector in her sad plight.
050_vazov_032|Though she had well nigh abandoned all hope of your coming.
050_vazov_033|I explained that I had not called by appointment, but was simply a stranger who found himself in the neighbourhood by the merest chance.
050_vazov_034|"""'This no matter,"" he replied in his old-fashioned diction."
050_vazov_035|Seeing that you have come for Trulisa, she is in sore need of anyone who is ready to undertake her cause.
050_vazov_036|I said that I happened to be a member of the legal profession, and that if, as I gathered, his mistress was in any difficulty in which she desired my assistance, I was quite prepared to advise her to the best of my ability, and to act for her should her case be one which, in my opinion, required it.
050_vazov_037|"That does it, indeed,"" he said. But I pray you stand no longer parleying without, which, since I perceive you are a bit ill-protected at present,"" yelled Vassily, ""'may be fraught with unnecessary danger. Come within without further delay.'"""
050_vazov_038|I did not think there was any real risk of catching cold, but I did wonder why it had not occurred to me to put up my umbrella until I discovered that my right hand was already engaged and holding a cord.
050_vazov_039|to which was attached a gaudily coloured balloon that floated above my head.
050_vazov_040|This was so unsuitable an appendage to any solicitor.
050_vazov_041|especially to one about to offer his services in an affair which was apparently serious.
050_vazov_042|that I was somewhat disconcerted for the moment.
050_vazov_043|But I soon recollected having gone into a toy shop sometime previously, and concluded that I must have purchased this air ball as a present for my gotchild.
050_vazov_044|I was about to explain this to the old man when he pulled me suddenly through the wicked gate, shutting the door so sharply that it snapped the string of the balloon.
050_vazov_045|I saw it soaring up on the other side of the wall.
050_vazov_046|till a whirl of snow hid it from my sight.
050_vazov_047|"Trouble not for its loss,"" said the Seneschal. It has fulfilled its purpose in bringing you to our gates."
050_vazov_048|If he really supposed that anybody was at all likely to adopt so eccentric a means of conveyance, he must, I thought, be in his dotage, and I began to have a misgiving that, by accepting his invitation to step in, I might have placed myself in a false position.
050_vazov_049|However, I had gone too far to retract now, so I allowed him to conduct me to his mistress.
050_vazov_050|He took me across a vast courtyard to a side entrance, and then up a winding stair along deserted corridors and through empty antechambers, until we came into a great hall, poorly lighted from above.
050_vazov_051|and hung with dim tapestries.
050_vazov_052|There he left me, saying that he would inform his mistress of my arrival.
050_vazov_053|I had not long to wait before she entered by an opposing archway.
050_vazov_054|I regret my inability, owing partly to the indifferent manner in which the apartment was lit.
050_vazov_055|to describe her with anything like precision.
050_vazov_056|She was quite young, not much I should be inclined to say over 18.
050_vazov_057|She was richly but fantastically dressed in some shimmering kind of robe, and her long hair was let down and flowing loose about her shoulders, which, although I am bound to say that the effect in her case was not unbecoming,
050_vazov_058|always has, in my mind at least, a certain air of untidiness in a grown-up person.
050_vazov_059|and almost made me doubt for a moment whether she was quite in her right senses.
050_vazov_060|But while she was evidently in a highly emotional state, I could detect nothing in her manner of speech that indicated any actual mental aberration.
050_vazov_061|Her personal appearance too was distinctly pleasing and altogether I cannot remember ever to have felt so interested at first sight in any female client.
050_vazov_062|"Tell me!"" she cried."
050_vazov_063|Is it really true?
050_vazov_064|Have you indeed come to my deliverance?
050_vazov_065|"My dear young lady,"" I said."
050_vazov_066|Perceiving that any apology for what I had feared must seem a highly irregular intrusion was unnecessary,
050_vazov_067|I have been given to understand that you have some occasion for my services.
050_vazov_068|And if that is correct, I can only say that they are entirely at your disposal.
050_vazov_069|Just try to compose yourself and tell me, as clearly and concisely as you can, the material facts of your case.
050_vazov_070|Alas-a.
050_vazov_071|she said, wringing her hands, which I remember noticing were of quite remarkable beauty.
050_vazov_072|I am the unhappiest princess in the whole world.
050_vazov_073|I trust I am as free from snobbishness as most people, but I admit to feeling some gratification in the fact
050_vazov_074|that I was honoured by the confidence of a lady of soul exalted rank.
050_vazov_075|"I am extremely sorry to hear it, ma'am,"" I said, recollecting that that was the proper way to address a princess."
050_vazov_076|But I'm afraid, I added, as I prepared to take her instructions.
050_vazov_077|that I can be but of little assistance to you unless you can bring yourself to furnish me with somewhat fuller particulars.
050_vazov_078|Surely, she said, you cannot be ignorant that I am in the power of a wicked and tyrannous uncle.
050_vazov_079|I might have explained that I was far too busy a man to have leisure to keep up with the latest court scandals.
050_vazov_080|But I refrained.
050_vazov_081|"I may take it then, I said, that you're an orphan, and that the relative you refer to is your sole guardian."""
050_vazov_082|She implied by a gesture that both these inferences were correct.
050_vazov_083|"He has shot me up! A close prisoner in this gloomy place!"" she declared."
050_vazov_084|and deprive me of all my attendants one by one, save the aged but faithful retainer whom you have beheld.
050_vazov_085|I replied, of course, that this was an unwarrantable abuse of his authority.
050_vazov_086|and inquired whether she could assign any motive for such a proceeding on his part.
050_vazov_087|"He is determined that I shall marry his son,"" she explained."
050_vazov_088|whom I detest with an unutterable loathing.
050_vazov_089|Possibly, I ventured to hint, there is someone else who... There is none, she said.
050_vazov_090|since I have never been permitted to look upon any other suitor, and here I am held in endurance until I consent to this hated union.
050_vazov_091|and I will die sooner.
050_vazov_092|But you will save me from so terrible a fate.
050_vazov_093|For what else are you here?
050_vazov_094|"I should be incompetent indeed, madam,"" I assured her, if I could not see a way out of what is really a very ordinary predicament."
050_vazov_095|by attempting to force you into a marriage against your will,
050_vazov_096|Your Guardian has obviously shown himself a totally unfit person to have you in his custody.
050_vazov_097|You have the law entirely on your side.
050_vazov_098|"Unfit as he truly,"" she agreed."
050_vazov_099|But I care not who else is on my side so long as you will be my champion.
050_vazov_100|Only, how will you achieve my rescue?
050_vazov_101|Under all the circumstances, I told her, I think our best course would be to apply for a habeas corpus.
050_vazov_102|He will then be brought up to the court of justice, and the judge could make any order he thought advisable.
050_vazov_103|In all probability, he will remove your uncle from his position and have you made a ward of court.
050_vazov_104|There is always a difficulty in getting ladies to understand even the simplest details of legal procedure.
050_vazov_105|and my princess was no exception to the rule.
050_vazov_106|She did not seem in the least to realize the power which every court possesses of enforcing its own decrees.
050_vazov_107|"Sir, you forget,"" she said."
050_vazov_108|that my uncle, who has great renown in these parts as a sorcerer and magician, will assuredly laugh any such order to scorn.
050_vazov_109|"In that case, ma'am,"" said I."
050_vazov_110|he will render himself liable for contempt of court.
050_vazov_111|Besides, should his local reputation answer your description, we have another hole on him.
050_vazov_112|If we can only prove that he has been using any subtle craft, means or device to impose on any of his Majesty's subjects
050_vazov_113|he could be prosecuted under the Vagrancy Act of 1824 as a rogue and a vagabond.
050_vazov_114|He might get as much as six months for it.
050_vazov_115|"Ah, sir,"" she cried."
050_vazov_116|Rather peevishly, I thought.
050_vazov_117|We do but waste precious time in idle talk such as this.
050_vazov_118|of which I comprehend scarce a word.
050_vazov_119|And the hour is nigh when I must meet my uncle face to face, And should I still refuse to obey his will, His wrath will be dire indeed.
050_vazov_120|"All you have to do is refer him to me,"" I said. I think I shall be able, in the course of a personal interview, to bring him to take a more reasonable view of his position."
050_vazov_121|If you're expecting him shortly, perhaps I had better remain here till he arrives.
050_vazov_122|"Happily for both of us,"" she replied."
050_vazov_123|He is still many leagues distant from here.
050_vazov_124|Can you not see that if my rescue is to be accomplished at all, it must be ere his return, or else am I all undone?
050_vazov_125|Is it possible that, after coming thus far, you can tarry here doing naught?
050_vazov_126|I took a little time for reflection before answering.
050_vazov_127|After a careful consideration I've said at last
050_vazov_128|I have come to the conclusion that, as you are evidently under grave apprehension of some personal violence from your uncle in the event of his finding you on the premises,
050_vazov_129|I should be fully justified in dispensing with usual formalities and removing you from his custody at once.
050_vazov_130|At all events, I will take that responsibility on myself, whatever risk I may incur.
050_vazov_131|"I crave your pardon for my seeming petulance,"" she said with a pretty humility."
050_vazov_132|I should have known right well that I might safely rely on the protection of so gallant and fearless a knight.
050_vazov_133|"You will understand, I am sure, ma'am,"" I said."
050_vazov_134|that I cannot, as a bachelor, offer you shelter under my own roof.
050_vazov_135|What I propose, subject of course to your approval,
050_vazov_136|is that I should place you under the care of an old aunt of mine at Croydon until some other arrangement can be made.
050_vazov_137|I presume it will not take you long to make your preparations for the journey.
050_vazov_138|"What need of preparation?"" she cried."
050_vazov_139|I should recommend you take at least a dressing bag, I said. You will have time to pack all you may require while your retainer is fetching a supply.
050_vazov_140|that I know of nothing to hinder us from leaving at once.
050_vazov_141|"""'Nothing!' she exclaimed."""
050_vazov_142|Do you dread a dragon so little, then, that you can speak thus lightly?
050_vazov_143|I could not help smiling.
050_vazov_144|It was so surprising to find a princess of her age who still retained a belief in fairy tales.
050_vazov_145|"I think, ma'am,"" I said, that at this time of day a dragon is not an obstacle which we need take into serious consideration."
050_vazov_146|You have evidently not been informed that such a monster has long since ceased to exist.
050_vazov_147|In other words, it is undoubtedly extinct.
050_vazov_148|And you have slain it!
050_vazov_149|She cried, and her eyes blazed with admiration.
050_vazov_150|I might have guessed as much. It is slain, and now even my uncle has no longer power to detain me here.
050_vazov_151|For many a long month I have not dared to look from out my casements.
050_vazov_152|But now I may behold the light of day once more without shrinking.
050_vazov_153|She drew back some hangings as she spoke, disclosing a large aureole window, and the next moment she cowered away with a cry of abject terror.
050_vazov_154|"Why have you deceived me?"" she demanded with indignant reproach."
050_vazov_155|It is not extinct, it is still there. Look for yourself.
050_vazov_156|I did look.
050_vazov_157|The window commanded the rear of the castle, which I had not hitherto seen.
050_vazov_158|And now I saw something else so utterly unexpected.
050_vazov_159|that I could hardly trust the evidence of my own eyesight.
050_vazov_160|Towering above the battlemented outer wall, I saw a huge horny head
050_vazov_161|Poised upon a long and flexible neck,
050_vazov_162|and oscillating slowly from side to side with a sinister vigilance.
050_vazov_163|Although the rest of the brute was hidden by the wall, I saw quite enough to convince me that it could not well be anything else than a dragon.
050_vazov_164|and a formidable one at that.
050_vazov_165|I thought I understood now why the Seneschal had been so anxious to get me inside.
050_vazov_166|though I wished he had been rather more explicit.
050_vazov_167|I stood there staring at it.
050_vazov_168|But I made no remarks.
050_vazov_169|To tell the truth, I did not feel equal to one just then.
050_vazov_170|The princess spoke first.
050_vazov_171|"You seem astonished, sir,"" she said."
050_vazov_172|Yet you can hardly have been in ignorance that my uncle has set this ferocious monster to guard these walls and devour me should I strive to make my escape.
050_vazov_173|"I can only say, ma'am,"" I replied, that this is the first intimation I have had with the fact."
050_vazov_174|"Still, you are wise and strong,"" she said."
050_vazov_175|You will surely devise some means whereby to rid me of this baleful thing.
050_vazov_176|"If you will permit me to draw the curtains again, I said, I will endeavour to think of something."""
050_vazov_177|Am I right in assuming that this brute is the property of your uncle?
050_vazov_178|She replied that that was so.
050_vazov_179|"Then I think I see a way,"" I said."
050_vazov_180|Your uncle could be summoned for allowing such a dangerous animal to be at large.
050_vazov_181|since it is clearly not under proper control.
050_vazov_182|And, if an application were made to a magistrate, under the Act of 1871, he might be ordered to destroy it at once.
050_vazov_183|"You little know my uncle,"" she said with a touch of scorn."
050_vazov_184|If you deem that he would destroy his sole remaining dragon at the bidding of any person, whatever,
050_vazov_185|"He will incur a penalty of 20 shillings a day until he does,"" I replied."
050_vazov_186|In any case, I can promise you that, if I can only manage to get you out of this place, you shall not be exposed to this annoyance very much longer.
050_vazov_187|"You will?"" she cried."
050_vazov_188|Are you quite sure that you will succeed?
050_vazov_189|"Practically I am,"" I said."
050_vazov_190|"I shall apply, always supposing I can get home safely, the first thing to-morrow morning, and, if I can only convince the bench, that the terms of the act are wide enough to include not only dogs, but any other unmanageable quadrupeds, why, the thing is as good as done."""
050_vazov_191|Tomorrow?
050_vazov_192|Tomorrow?
050_vazov_193|She repeated impatiently.
050_vazov_194|Must I tell you once more that there is no time for delay?
050_vazov_195|Indeed, sir.
050_vazov_196|If I am to be rescued at all, your hand alone can deliver me from this loathly worm.
050_vazov_197|I confess I considered she was taking an altogether extravagant view of the relations between solicitor and client.
050_vazov_198|If I said
050_vazov_199|It could be described with any accuracy as a worm. I should not feel the slightest hesitation about attacking it.
050_vazov_200|Then you will?
050_vazov_201|She said entirely missing my point as usual.
050_vazov_202|Tell me you will, for my sake.
050_vazov_203|She looked so engaging whilst making this appeal that I really had not the heart to paint her by direct refusal.
050_vazov_204|"""'There is nothing,' I said."""
050_vazov_205|That is nothing in reason that I would not do cheerfully for your sake.
050_vazov_206|But if you will only reflect, you will see at once that in a tall hat and overcoat, and with absolutely no weapon but an umbrella,
050_vazov_207|I should not stand the ghost of a chance against the dragon.
