050_vazov_000|The Adventure of the Snowing Globe by F. Anstey
050_vazov_208|I should be too hopelessly overmatched.
050_vazov_209|"You say truth,"" she replied, much to my satisfaction."
050_vazov_210|I could not desire any champion of mine to engage in so unequal a contest.
050_vazov_211|So have no uneasiness on that score.
050_vazov_212|On this, she clapped her hands as a summons to the Seneschal.
050_vazov_213|who appeared so promptly that I fancy he could not have been very far from the keyhole.
050_vazov_214|This gallant gentleman, she explained to him, has undertaken to go forth and encounter the dragon without our walls, provided that he is fitly furnished for so deadly a fray.
050_vazov_215|I tried to protest that she had placed a construction on my remarks which they would not intend to bear.
050_vazov_216|But the old man was so voluble in thanks and blessings that I could not get in a single word.
050_vazov_217|"He will conduct him to the armory,"" the princess continued, and see him arrayed in harness-meat for so nightly an endeavor."
050_vazov_218|"Sir,"" she added to me."
050_vazov_219|Words fail me at such an hour as this.
050_vazov_220|I cannot even thank you as I would.
050_vazov_221|But I know you will do your utmost on my behalf.
050_vazov_222|should you fall.
050_vazov_223|She broke off here.
050_vazov_224|being evidently unable to complete her sentence.
050_vazov_225|but that was unnecessary.
050_vazov_226|I knew what would happen if I fell.
050_vazov_227|"But fall you will not,"" she resumed."
050_vazov_228|Something tells me that you will return to me victorious. And then...
050_vazov_229|And then should you demand any girding of me, yea,
050_vazov_230|and here she blossomed divinely.
050_vazov_231|Even to this hand of mine it shall not be denied to you.
050_vazov_232|Never in the whole course of my professional career had I been placed in a position of greater difficulty.
050_vazov_233|My common sense told me that it was perfectly preposterous on her part to expect such services as these from one who was merely acting as her legal advisor.
050_vazov_234|even if I performed them successfully, which was, to say the least of it, doubtful.
050_vazov_235|My practice would probably be injuriously affected should my connection with such an affair become known.
050_vazov_236|as for the special fee she had so generously suggested.
050_vazov_237|That of course was out of the question.
050_vazov_238|At my time of life, marriage with a flighty young woman of 18.
050_vazov_239|and a princess into the bargain would be rather too hazardous an experiment.
050_vazov_240|And yet...
050_vazov_241|Whether it is that middle-aged bachelor as I am, I still have a strain of unsuspected romance and chivalry in my nature.
050_vazov_242|or for some other cause that I cannot explain.
050_vazov_243|Somehow I found myself kissing the little hand she extended to me, and going forth without another word to make as good a fight of it as I could for her against such an infernal beast as the dragon.
050_vazov_244|I cannot say that I felt cheerful over it.
050_vazov_245|But anyhow, I went.
050_vazov_246|I followed the cenotaph who led me down by a different staircase from that I had come up.
050_vazov_247|and through an enormous vaulted kitchen, untenanted by all but black beetles which were swarming
050_vazov_248|Merely for the sake of conversation I made some remark on their numbers and pertinacity.
050_vazov_249|and inquired why no steps had apparently been taken to abate so obvious a nuisance.
050_vazov_250|Alas, noble sir.
050_vazov_251|He replied as he sadly shook his old white head.
050_vazov_252|It was the Scullions' office to clear the place of these pests, and the last minion has long since vanished from our halls.
050_vazov_253|I felt inclined to ask him where they had vanished to.
050_vazov_254|But I did not.
050_vazov_255|I thought the answer might prove discouraging.
050_vazov_256|Even as it was, I would have given something for a whiskey and soda just then.
050_vazov_257|but he did not offer it and I did not like to suggest it for fear of being misunderstood.
050_vazov_258|and presently we enter the armory.
050_vazov_259|Only a limited number of suits were hanging on the walls, and all of them were in a deplorably rusty and decayed condition.
050_vazov_260|but the Seneschal took them down one by one and made fumbling attempts to buckle and hook me into them.
050_vazov_261|Most unfortunately, not a single suit proved what I should call workmanlike.
050_vazov_262|For I defy any man to fight a dragon in armour which was too tight even to move about in, with any approach to comfort.
050_vazov_263|I am afraid it's no use, I told the Seneschal, as I reluctantly resume my ordinary garments.
050_vazov_264|You can see for yourself that there is nothing here that comes near my size.
050_vazov_265|"But you cannot engage in combat with the dragon in your present habiliments,"" he remonstrated."
050_vazov_266|That was stark madness.
050_vazov_267|I was glad that the old man had sufficient sense to see that.
050_vazov_268|"I am quite of your opinion,"" I replied."
050_vazov_269|And believe me, my good old friend, nothing is farther from my thoughts.
050_vazov_270|My idea is that if
050_vazov_271|I do not ask you to expose yourself to any unnecessary risk.
050_vazov_272|but if you could contrive to divert the dragon's attention by a demonstration of some sort on one side of the castle...
050_vazov_273|I might manage to slip quietly out of some door on the other.
050_vazov_274|"Are you but a catiff then, after all,"" he exclaimed, that you can abandon so lovely a lady to certain doom."
050_vazov_275|There is no occasion for addressing me in offensive terms, I replied. I have no intention whatever of abandoning your mistress. You will be good enough to inform her that I shall return tomorrow without fail with a weapon,
050_vazov_276|that will settle this dragons business more effectively than any of your obsolete lances in Battleaxes.
050_vazov_277|for I had already decided on this as the only course that was now open to me.
050_vazov_278|I had a friend who spent most of the year abroad in pursuit of big game, but who chanced by good luck to be in town just then.
050_vazov_279|He would, I knew, willingly lend me an express rifle and some expansive bullets, and as an ex-volunteer and marksman, I felt that the odds would then be slightly in my favour, even if I could not, as I hoped I could, persuade my friend to join me in the expedition.
050_vazov_280|But the Seneschal took a less sanguine view of my prospects.
050_vazov_281|"You forget, sir,"" he remarked lugubriously."
050_vazov_282|that in order to return hither you must first quit the shelter of these walls.
050_vazov_283|"which, all unarmed as you are, would be but to court instant death."""
050_vazov_284|I don't quite see that, I argued.
050_vazov_285|After all, as the dragon made no effort to prevent me from coming in, it is at least possible that it may not object to my going out.
050_vazov_286|"For aught I can say,"" he replied."
050_vazov_287|It may have no orders to hinder any from entrance.
050_vazov_288|As to that I know not.
050_vazov_289|But of this I am very sure, it suffers no one to depart hence undevoured.
050_vazov_290|"But could I not contrive to get out of its reach before it was aware that I had even started?"" I suggested."
050_vazov_291|"I fear me, sir,"" he said despondently."
050_vazov_292|that the creature would not fail to follow up your tracks, ere the snow could cover them.
050_vazov_293|"That had not occurred to me,"" I said."
050_vazov_294|But now you mention it, it does seem altogether unlikely.
050_vazov_295|In your opinion then, I should do better in remaining where I am?
050_vazov_296|Only until the Enchanter returned, was his reply.
050_vazov_297|"as, if I mistake not, he may do at any moment, after which your stay here will assuredly be but brief."""
050_vazov_298|"You can't mean,"" I said, that he would have the inhumanity to turn me out to be devoured by his beastly dragon?"
050_vazov_299|for that is what it would come to.
050_vazov_300|Unless, perchance, by dint of strength or cunning you are able to overcome the monster.
050_vazov_301|He said,
050_vazov_302|and me thought you had come hither with that very intent.
050_vazov_303|My good man, I replied. I have no idea why or how I came here, but it was certainly with no desire or expectation of meeting a dragon.
050_vazov_304|However, I begin to see very clearly that if I can't find some way of putting an end to the root,
050_vazov_305|and promptly too.
050_vazov_306|He will make an end of me.
050_vazov_307|The question is, how the deucer might have set about it?
050_vazov_308|And then, all at once, I had an inspiration.
050_vazov_309|I recollected the Black Beetles, and something the Seneschal had said about it being the Skullions' duty to keep them down.
050_vazov_310|I asked him what methods they had employed for this purpose.
050_vazov_311|but such humble details being naturally outside his province, he was unable to inform me.
050_vazov_312|So I returned to the kitchen where I began a careful search, not without some hope of success.
050_vazov_313|For a while I searched in vain.
050_vazov_314|But at last, just when I had begun to despair...
050_vazov_315|I found on a dusty shelf in the buttery the identical thing I had been looking for.
050_vazov_316|It was an earthen vessel containing a paste which, in spite of the fungoid growth that had collected on its surface, I instantly recognised as a composition warranted to prove fatal to every description of vermin.
050_vazov_317|I called to the Seneschal and asked if he could oblige me with a loaf of white bread.
050_vazov_318|which he brought an evident bewilderment.
050_vazov_319|I cut a slice from the middle and was proceeding to spread the paste thickly upon it when he grasped my arm.
050_vazov_320|"""'Hold!' he cried."""
050_vazov_321|Would you rashly seek your death ere it is due?
050_vazov_322|"You need not be alarmed,"" I told him. This is not for myself."
050_vazov_323|And now will you kindly show me a way out to some part of the roof where I can have access to the dragon?
050_vazov_324|trembling from head to foot.
050_vazov_325|He indicated a third stair, up which, however, he did not offer to accompany me.
050_vazov_326|It brought me out on the leads of what appeared to be a kind of bastion.
050_vazov_327|I crept cautiously to the parapet and peeped over it.
050_vazov_328|And then for the first time I had a full view of the brute which was crouching immediately below me.
050_vazov_329|I know how prone the most accurate are to exaggeration in matters of this kind, but after making every allowance for my excited condition at the time,
050_vazov_330|I do not think I am far out in estimating that the dimensions of the beast could not have been much, if at all, less than those of the Diplodocus carnegie, a model of which is exhibited at the Natural History Museum.
050_vazov_331|while its appearance was infinitely more terrific.
050_vazov_332|I do not mind admitting, frankly, that the sight so unmanned me for the moment that I was seized with an almost irresistible impulse to retire by the way I had come before the creature had observed me.
050_vazov_333|And yet, it was not without a certain beauty of its own.
050_vazov_334|I should say indeed that it was rather an unusually handsome specimen of its class
050_vazov_335|and I was especially struck by the magnificent colouring of its scales, which surpassed that of even the largest pythons.
050_vazov_336|Still, to the unaccustomed eye, there must always be something about a dragon that inspires more horror than admiration.
050_vazov_337|and I was in no mood just then to enjoy the spectacle.
050_vazov_338|It was hunched up together with its head laid back like a fowl's between its wings.
050_vazov_339|and seem to be enjoying a short nap.
050_vazov_340|I suppose I must unconsciously have given some sign of my presence.
050_vazov_341|For suddenly I saw the horny films roll back like shutters from its lidless eyes.
050_vazov_342|which it fixed on me with a cold glare of curiosity.
050_vazov_343|and then it shambled onto its feet and slowly elongated its neck till it brought its horrible head on a level with the battlements.
050_vazov_344|I need not say that on this I promptly retreated to a spot where I judged I should be out of immediate danger.
050_vazov_345|but I had sufficient presence of mind to remember the purpose for which I was there.
050_vazov_346|and fixing the prepared slice on the ferrule of my umbrella, I extended it as far as my arm would reach in the creature's direction.
050_vazov_347|I fancy it had not been fed very lately.
050_vazov_348|the head made a lightning dart across the parapet and a voracious snap, and the next moment both bread and umbrella had disappeared down its great red gullet.
050_vazov_349|The head was then withdrawn.
050_vazov_350|I could hear a hideous, champing sound as if the ribs of the umbrella being slowly crunched
050_vazov_351|After that came silence.
050_vazov_352|Again, I crawl to the parapet and look down.
050_vazov_353|The huge brute was licking its plaited jaws with apparent gusto.
050_vazov_354|as though which was likely enough.
050_vazov_355|An umbrella came as an unaccustomed snack to his jaded palate.
050_vazov_356|It was peacefully engaged now in digesting this hors d'oeuvre.
050_vazov_357|But my heart only sank the lower at the sight.
050_vazov_358|For if an alpaca umbrella with an ebony handle could be so easily assimilated, what possible chance was there that beetle paste would produce any deleterious effect?
050_vazov_359|I had been a fool to place the faintest hope on so desperate a hazard.
050_vazov_360|Presently he would be coming for more, and I had nothing for him.
050_vazov_361|But by and by, as I gazed in a sort of fascinated repulsion, I fancied I detected some slight symptoms of uneasiness in the reptile's demeanor.
050_vazov_362|It was almost nothing at first.
050_vazov_363|a restless twitch at times, a squint in its stony eyes that I had not previously noticed.
050_vazov_364|But it gave me a gleam of hope.
050_vazov_365|Presently I saw the great crest along its spine slowly begin to erect itself.
050_vazov_366|and the filaments that fringed its jaws bristling.
050_vazov_367|as it proceeded to deal a succession of vicious pecks at its distended olive-green paunch, which it evidently regarded as responsible for the disturbance.
050_vazov_368|Little as I knew about dragons, a child could have seen that this one was feeling somewhat seriously indisposed.
050_vazov_369|Only, was it due to the umbrella or the vermin killer?
050_vazov_370|As to that, I could only attempt to speculate, and my fate
050_vazov_371|and the princesses too, hung upon which was the correct diagnosis.
050_vazov_372|However, I was not kept long in suspense.
050_vazov_373|Suddenly the beast uttered a kind of bellowing roar, the most appalling sound I think I ever heard.
050_vazov_374|And after that, I scarcely know what happened exactly.
050_vazov_375|I fancy it had some kind of fit.
050_vazov_376|It writhed and rolled over and over.
050_vazov_377|thrashing the air with its big leathery wings, entangling itself up to a degree that, unless I had seen it, I should have thought impossible even for a dragon.
050_vazov_378|After this had gone on for some time, it untied itself and seemed calmer again, till all at once it curved into an immense arch and remained perfectly rigid with wings outspread for nearly half a minute.
050_vazov_379|Then it suddenly collapsed on its side, panting, snorting and quivering like some monstrous automobile.
050_vazov_380|after which it stretched itself out to its full length once or twice, and then lay stiff and still.
050_vazov_381|Its gorgeous hues gradually faded into a dull, leaden-gray tint.
050_vazov_382|Almost over.
050_vazov_383|The Vermin Destroyer had done its work after all.
050_vazov_384|I cannot say that I was much elated.
050_vazov_385|I am not sure that I did not even feel a pang of self-reproach.
050_vazov_386|I had slain the dragon, it was true, but by a method which I could not think would have commended itself to St. George's entirely sportsmanlike
050_vazov_387|even though the circumstances left me no other alternative.
050_vazov_388|However, I had saved the princess.
050_vazov_389|which was after all the main point.
050_vazov_390|and there was no actual necessity for her to know more than the bare fact that the dragon was dead.
050_vazov_391|I was just about to go down and inform her that she was now free to leave the castle
050_vazov_392|when I heard a whirring noise in the air.
050_vazov_393|And glancing back I saw, flying towards me through the still-falling snow, an elderly gentleman of forbidding aspect
050_vazov_394|who was evidently in a highly exasperated state.
050_vazov_395|It was the princess's uncle.
050_vazov_396|I don't know how it was, but till that moment I had never realized the extremely unprofessional proceeding into which I had been betrayed by my own impulsiveness.
050_vazov_397|But I so now, though too late.
050_vazov_398|that in taking the law into my own hands in administering a poisonous drug to an animal, which, however furious it might be, was still the property of another,
050_vazov_399|I had been guilty of conduct unworthy of any respectable solicitor.
050_vazov_400|It was undoubtedly an actionable tort, if not a trespass, while he might even treat it as a criminal offence.
050_vazov_401|So, as the magician landed on the roof, his face distorted with fury, I felt that nothing would meet the case but the most ample apology.
050_vazov_402|but feeling that it was better to allow the first remark to come from him, I merely raised my hat and waited to hear what he had to say.
050_vazov_403|Are you being attended to, sir?
050_vazov_404|was the remark that actually came.
050_vazov_405|and both words and tone were so different from what I had expected.
050_vazov_406|that I could not repress the start.
050_vazov_407|And then, to my utter astonishment, I discovered that the battlements and magician had all disappeared.
050_vazov_408|I was back again in the toy shop, staring into the glass globe in which the snow was still languidly circling.
050_vazov_409|"Like to take one of these chilling snowstorms, sir,"" continued the assistant, who seemed to be addressing me."
050_vazov_410|We're selling a great variety of them just now.
050_vazov_411|very suitable and acceptable present for a child, sir, and only a shilling in that size, though we have them larger in stock.
050_vazov_412|I bought the globe I had first taken up.
050_vazov_413|but I have not given it to my God child.
050_vazov_414|I prefer to keep it myself.
050_vazov_415|Of course, my adventure may have been merely a kind of daydream.
050_vazov_416|Though if so, it is rather odd that it should have taken that form, when even at night my dreams, on the rare occasion when I do dream, never turn upon such subjects as castles, princesses, or dragons.
050_vazov_417|A scientific friend to whom I related the experience pronounces it to be an ordinary case of auto-hypnotism induced by staring into a crystal globe for a prolonged period.
050_vazov_418|But I don't know. I cannot help thinking that there is something more in it than that.
050_vazov_419|I still gaze into the globe at times, when I am alone of an evening.
050_vazov_420|But while I have occasionally found myself back in the snowstorm again, I have never so far succeeded in getting into the castle.
050_vazov_421|Perhaps it is as well.
050_vazov_422|for, although I should not at all object to see something more of the princess,
050_vazov_423|She has most probably, thanks to my instrumentality, long since left the premises.
050_vazov_424|and I cannot say that I have any particular desire to meet the magician.
050_vazov_425|End of The Adventure of the Snowing Globe by F. Anstey
050_vazov_426|Read by Georgi Stoichev.
